train  size=small(5.7M, non-emb 5.0M)  option_rank=True  opponent=self  deck=archaludon_deck.csv  device=cuda
       iters=200 games/iter=128 epochs=2 mb=256 lr=0.0003->5e-05 ent~target=0.1(adaptive) kl_cut=1.5 gamma=0.997
       collector=dist(W=48)  league: self=1.0 past=2.0(≤5) + manifest[kaggle:starmie=1.5, kaggle:dragapult=1.5, kaggle:romanrozen_v10=1, heuristic=0.5, random=0.3]  gate>60%/200g every 10

it  35  N= 6901  pg=+0.042 vf=0.063 ent=0.139 entc=0.0200 kl=+0.501 clip=0.21 upd=54 lr=2.6e-04 pool=3  13.4s
it  36  N= 7051  pg=+0.042 vf=0.063 ent=0.130 entc=0.0200 kl=+0.656 clip=0.21 upd=56 lr=2.6e-04 pool=3  14.2s
it  37  N= 6894  pg=+0.025 vf=0.050 ent=0.119 entc=0.0200 kl=+0.341 clip=0.16 upd=54 lr=2.5e-04 pool=3  13.5s
it  38  N= 6578  pg=+0.028 vf=0.059 ent=0.102 entc=0.0200 kl=+0.535 clip=0.17 upd=52 lr=2.5e-04 pool=3  13.0s
it  39  N= 6009  pg=+0.026 vf=0.069 ent=0.095 entc=0.0204 kl=+0.349 clip=0.14 upd=48 lr=2.5e-04 pool=3  13.0s
it  40  N= 6343  pg=+0.021 vf=0.057 ent=0.094 entc=0.0208 kl=+0.342 clip=0.14 upd=50 lr=2.5e-04 pool=4  11.8s  | gate vs best 57.0%(n=200)  | eval: mirror 56.5%(n=200)  random 93.0%(n=200)  kaggle:archaludon 52.5%(n=200)
it  41  N= 6481  pg=+0.028 vf=0.049 ent=0.101 entc=0.0207 kl=+0.327 clip=0.15 upd=52 lr=2.5e-04 pool=4  12.5s
it  42  N= 5611  pg=+0.019 vf=0.060 ent=0.113 entc=0.0200 kl=+0.352 clip=0.15 upd=44 lr=2.5e-04 pool=4  12.9s
it  43  N= 6340  pg=+0.020 vf=0.062 ent=0.103 entc=0.0200 kl=+0.260 clip=0.14 upd=50 lr=2.5e-04 pool=4  13.2s
it  44  N= 6697  pg=+0.018 vf=0.067 ent=0.123 entc=0.0200 kl=+0.285 clip=0.15 upd=54 lr=2.5e-04 pool=4  13.7s
it  45  N= 6342  pg=+0.013 vf=0.074 ent=0.103 entc=0.0200 kl=+0.395 clip=0.15 upd=50 lr=2.4e-04 pool=4  13.8s
it  46  N= 6380  pg=+0.017 vf=0.062 ent=0.113 entc=0.0200 kl=+0.364 clip=0.14 upd=50 lr=2.4e-04 pool=4  13.5s
it  47  N= 6484  pg=+0.197 vf=0.062 ent=0.109 entc=0.0200 kl=+0.458 clip=0.17 upd=52 lr=2.4e-04 pool=4  13.8s
it  48  N= 6217  pg=+0.023 vf=0.069 ent=0.116 entc=0.0200 kl=+0.289 clip=0.13 upd=50 lr=2.4e-04 pool=4  14.4s
it  49  N= 5929  pg=+0.020 vf=0.069 ent=0.115 entc=0.0200 kl=+0.164 clip=0.13 upd=48 lr=2.4e-04 pool=4  13.0s
it  50  N= 6892  pg=+0.019 vf=0.068 ent=0.103 entc=0.0200 kl=+0.288 clip=0.13 upd=54 lr=2.4e-04 pool=5  15.1s  | gate vs best 59.0%(n=200)  | eval: mirror 58.5%(n=200)  random 95.0%(n=200)  kaggle:archaludon 58.5%(n=200)
it  51  N= 7100  pg=+0.017 vf=0.059 ent=0.113 entc=0.0200 kl=+0.229 clip=0.13 upd=56 lr=2.4e-04 pool=5  15.0s
it  52  N= 6877  pg=+0.030 vf=0.060 ent=0.115 entc=0.0200 kl=+0.403 clip=0.15 upd=54 lr=2.4e-04 pool=5  14.7s
it  53  N= 7385  pg=+0.026 vf=0.062 ent=0.121 entc=0.0200 kl=+0.287 clip=0.15 upd=58 lr=2.3e-04 pool=5  14.7s
it  54  N= 7464  pg=+0.010 vf=0.050 ent=0.123 entc=0.0200 kl=+0.299 clip=0.14 upd=60 lr=2.3e-04 pool=5  16.2s
it  55  N= 7318  pg=+0.024 vf=0.060 ent=0.127 entc=0.0200 kl=+0.398 clip=0.17 upd=58 lr=2.3e-04 pool=5  15.6s
it  56  N= 7676  pg=+0.020 vf=0.041 ent=0.108 entc=0.0200 kl=+0.195 clip=0.13 upd=60 lr=2.3e-04 pool=5  15.1s
it  57  N= 7118  pg=+0.020 vf=0.046 ent=0.116 entc=0.0200 kl=+0.266 clip=0.14 upd=56 lr=2.3e-04 pool=5  15.4s
it  58  N= 8252  pg=+0.018 vf=0.045 ent=0.125 entc=0.0200 kl=+0.259 clip=0.15 upd=66 lr=2.3e-04 pool=5  16.1s
it  59  N= 8086  pg=+0.014 vf=0.051 ent=0.122 entc=0.0200 kl=+0.324 clip=0.13 upd=64 lr=2.3e-04 pool=5  16.6s
it  60  N= 8320  pg=+0.021 vf=0.057 ent=0.131 entc=0.0200 kl=+0.215 clip=0.14 upd=66 lr=2.3e-04 pool=5  16.6s  | gate vs best 71.5%(n=200)  [PROMOTED]  | eval: mirror 70.5%(n=200)  random 96.0%(n=200)  kaggle:archaludon 69.5%(n=200)
it  61  N= 7040  pg=+0.013 vf=0.051 ent=0.146 entc=0.0200 kl=+0.255 clip=0.14 upd=56 lr=2.2e-04 pool=5  15.3s
it  62  N= 8063  pg=+0.015 vf=0.061 ent=0.137 entc=0.0200 kl=+0.281 clip=0.15 upd=64 lr=2.2e-04 pool=5  17.0s
it  63  N= 7472  pg=+0.011 vf=0.048 ent=0.132 entc=0.0200 kl=+0.263 clip=0.14 upd=60 lr=2.2e-04 pool=5  15.9s
it  64  N= 7427  pg=+0.020 vf=0.064 ent=0.130 entc=0.0200 kl=+0.170 clip=0.12 upd=60 lr=2.2e-04 pool=5  16.6s
it  65  N= 7458  pg=+0.026 vf=0.088 ent=0.135 entc=0.0200 kl=+0.358 clip=0.15 upd=60 lr=2.2e-04 pool=5  17.2s
it  66  N= 6723  pg=+0.023 vf=0.059 ent=0.136 entc=0.0200 kl=+0.213 clip=0.15 upd=54 lr=2.2e-04 pool=5  15.2s
it  67  N= 7942  pg=+0.028 vf=0.074 ent=0.144 entc=0.0200 kl=+0.191 clip=0.16 upd=64 lr=2.2e-04 pool=5  17.8s
it  68  N= 7893  pg=+0.029 vf=0.067 ent=0.149 entc=0.0200 kl=+0.223 clip=0.16 upd=62 lr=2.2e-04 pool=5  18.5s
it  69  N= 7446  pg=+0.009 vf=0.060 ent=0.149 entc=0.0200 kl=+0.234 clip=0.14 upd=60 lr=2.1e-04 pool=5  14.8s
it  70  N= 7811  pg=+0.020 vf=0.066 ent=0.154 entc=0.0200 kl=+0.180 clip=0.15 upd=62 lr=2.1e-04 pool=5  18.1s  | gate vs best 65.0%(n=200)  [PROMOTED]  | eval: mirror 78.0%(n=200)  random 93.0%(n=200)  kaggle:archaludon 73.5%(n=200)
it  71  N= 8323  pg=+0.026 vf=0.063 ent=0.163 entc=0.0200 kl=+0.294 clip=0.17 upd=66 lr=2.1e-04 pool=5  20.6s
it  72  N= 8302  pg=+0.018 vf=0.066 ent=0.158 entc=0.0200 kl=+0.189 clip=0.16 upd=66 lr=2.1e-04 pool=5  18.8s
it  73  N= 8234  pg=+0.015 vf=0.059 ent=0.158 entc=0.0200 kl=+0.199 clip=0.14 upd=66 lr=2.1e-04 pool=5  19.2s
it  74  N= 8045  pg=+0.019 vf=0.060 ent=0.153 entc=0.0200 kl=+0.132 clip=0.15 upd=64 lr=2.1e-04 pool=5  18.1s
it  75  N= 7976  pg=+0.024 vf=0.074 ent=0.152 entc=0.0200 kl=+0.121 clip=0.14 upd=64 lr=2.1e-04 pool=5  18.9s
it  76  N= 7590  pg=+0.018 vf=0.058 ent=0.152 entc=0.0200 kl=+0.219 clip=0.15 upd=60 lr=2.1e-04 pool=5  17.8s
it  77  N= 7517  pg=+0.014 vf=0.072 ent=0.152 entc=0.0200 kl=+0.224 clip=0.14 upd=60 lr=2.0e-04 pool=5  17.4s
it  78  N= 7115  pg=+0.015 vf=0.063 ent=0.145 entc=0.0200 kl=+0.156 clip=0.13 upd=56 lr=2.0e-04 pool=5  17.3s
it  79  N= 7307  pg=+0.019 vf=0.062 ent=0.155 entc=0.0200 kl=+0.169 clip=0.13 upd=58 lr=2.0e-04 pool=5  17.1s
it  80  N= 8161  pg=+0.011 vf=0.071 ent=0.161 entc=0.0200 kl=+0.116 clip=0.13 upd=64 lr=2.0e-04 pool=5  19.2s  | gate vs best 47.5%(n=200)  | eval: mirror 82.5%(n=200)  random 97.0%(n=200)  kaggle:archaludon 80.0%(n=200)
it  81  N= 8271  pg=+0.016 vf=0.065 ent=0.161 entc=0.0200 kl=+0.132 clip=0.14 upd=66 lr=2.0e-04 pool=5  19.5s
it  82  N= 7813  pg=+0.016 vf=0.068 ent=0.152 entc=0.0200 kl=+0.213 clip=0.13 upd=62 lr=2.0e-04 pool=5  18.8s
it  83  N= 6978  pg=+0.012 vf=0.065 ent=0.166 entc=0.0200 kl=+0.105 clip=0.14 upd=56 lr=2.0e-04 pool=5  17.0s
it  84  N= 7076  pg=+0.013 vf=0.076 ent=0.159 entc=0.0200 kl=+0.163 clip=0.13 upd=56 lr=2.0e-04 pool=5  18.0s
it  85  N= 7626  pg=+0.015 vf=0.071 ent=0.144 entc=0.0200 kl=+0.120 clip=0.12 upd=60 lr=1.9e-04 pool=5  17.6s
it  86  N= 7704  pg=+0.006 vf=0.066 ent=0.156 entc=0.0200 kl=+0.127 clip=0.13 upd=62 lr=1.9e-04 pool=5  19.4s
it  87  N= 8095  pg=+0.017 vf=0.074 ent=0.156 entc=0.0200 kl=+0.116 clip=0.13 upd=64 lr=1.9e-04 pool=5  18.0s
it  88  N= 7289  pg=+0.010 vf=0.064 ent=0.154 entc=0.0200 kl=+0.093 clip=0.12 upd=58 lr=1.9e-04 pool=5  16.1s
it  89  N= 7692  pg=+0.009 vf=0.074 ent=0.158 entc=0.0200 kl=+0.223 clip=0.13 upd=62 lr=1.9e-04 pool=5  18.5s
it  90  N= 7733  pg=+0.017 vf=0.067 ent=0.138 entc=0.0200 kl=+0.125 clip=0.12 upd=62 lr=1.9e-04 pool=5  17.7s  | gate vs best 52.5%(n=200)  | eval: mirror 81.0%(n=200)  random 93.5%(n=200)  kaggle:archaludon 74.0%(n=200)
it  91  N= 7734  pg=+0.009 vf=0.068 ent=0.145 entc=0.0200 kl=+0.432 clip=0.13 upd=62 lr=1.9e-04 pool=5  18.8s
it  92  N= 7368  pg=+0.009 vf=0.060 ent=0.147 entc=0.0200 kl=+0.288 clip=0.11 upd=58 lr=1.9e-04 pool=5  18.1s
it  93  N= 7926  pg=+0.009 vf=0.069 ent=0.159 entc=0.0200 kl=+0.088 clip=0.11 upd=62 lr=1.8e-04 pool=5  17.2s
it  94  N= 7109  pg=+0.011 vf=0.061 ent=0.157 entc=0.0200 kl=+0.220 clip=0.13 upd=56 lr=1.8e-04 pool=5  15.7s
it  95  N= 7934  pg=+0.011 vf=0.072 ent=0.167 entc=0.0200 kl=+0.239 clip=0.13 upd=62 lr=1.8e-04 pool=5  19.1s
it  96  N= 7632  pg=+0.010 vf=0.062 ent=0.161 entc=0.0200 kl=+0.234 clip=0.11 upd=60 lr=1.8e-04 pool=5  17.7s
it  97  N= 7507  pg=+0.007 vf=0.064 ent=0.163 entc=0.0200 kl=+0.091 clip=0.12 upd=60 lr=1.8e-04 pool=5  17.3s
it  98  N= 7501  pg=+0.015 vf=0.065 ent=0.171 entc=0.0200 kl=+0.215 clip=0.13 upd=60 lr=1.8e-04 pool=5  18.2s
it  99  N= 7680  pg=+0.009 vf=0.065 ent=0.163 entc=0.0200 kl=+0.125 clip=0.12 upd=60 lr=1.8e-04 pool=5  19.2s
it 100  N= 7963  pg=+0.012 vf=0.073 ent=0.184 entc=0.0200 kl=+0.080 clip=0.12 upd=64 lr=1.8e-04 pool=5  18.5s  | gate vs best 49.0%(n=200)  | eval: mirror 75.5%(n=200)  random 94.5%(n=200)  kaggle:archaludon 73.5%(n=200)
it 101  N= 7856  pg=+0.009 vf=0.067 ent=0.195 entc=0.0200 kl=+0.067 clip=0.13 upd=62 lr=1.7e-04 pool=5  18.9s
it 102  N= 8114  pg=+0.007 vf=0.066 ent=0.200 entc=0.0200 kl=+0.071 clip=0.13 upd=64 lr=1.7e-04 pool=5  18.0s
it 103  N= 7879  pg=+0.008 vf=0.062 ent=0.223 entc=0.0200 kl=+0.128 clip=0.15 upd=62 lr=1.7e-04 pool=5  19.6s
it 104  N= 8534  pg=+0.012 vf=0.066 ent=0.206 entc=0.0200 kl=+0.103 clip=0.14 upd=68 lr=1.7e-04 pool=5  20.4s
it 105  N= 8598  pg=+0.014 vf=0.057 ent=0.216 entc=0.0200 kl=+0.092 clip=0.14 upd=68 lr=1.7e-04 pool=5  19.8s
it 106  N= 8385  pg=+0.014 vf=0.058 ent=0.208 entc=0.0200 kl=+0.088 clip=0.14 upd=66 lr=1.7e-04 pool=5  19.2s
it 107  N= 8114  pg=+0.007 vf=0.070 ent=0.216 entc=0.0200 kl=+0.067 clip=0.14 upd=64 lr=1.7e-04 pool=5  19.1s
it 108  N= 8563  pg=+0.010 vf=0.062 ent=0.229 entc=0.0200 kl=+0.073 clip=0.14 upd=68 lr=1.7e-04 pool=5  19.0s
it 109  N= 8610  pg=+0.011 vf=0.067 ent=0.247 entc=0.0200 kl=+0.076 clip=0.16 upd=68 lr=1.6e-04 pool=5  20.0s
it 110  N= 8309  pg=+0.010 vf=0.065 ent=0.230 entc=0.0200 kl=+0.083 clip=0.15 upd=66 lr=1.6e-04 pool=5  20.5s  | gate vs best 54.5%(n=200)  | eval: mirror 76.0%(n=200)  random 89.5%(n=200)  kaggle:archaludon 78.5%(n=200)
it 111  N= 8947  pg=+0.009 vf=0.063 ent=0.244 entc=0.0200 kl=+0.107 clip=0.17 upd=70 lr=1.6e-04 pool=5  20.8s
